Lan,Datum,Uppskattning,Low_CI,High_CI
Blekinge,2020-05-11,0.51,0.15,1.39
Dalarna,2020-05-11,0.82,0.36,1.73
Gävleborg,2020-05-11,0.85,0.39,1.69
Gotland,2020-05-11,0.5,0.04,3.68
Halland,2020-05-11,0.56,0.26,1.12
Jämtland,2020-05-11,0.76,0.2,2.14
Jönköping,2020-05-11,0.58,0.28,1.1
Kalmar,2020-05-11,0.58,0.2,1.4
Kronoberg,2020-05-11,0.47,0.15,1.16
Norrbotten,2020-05-11,0.76,0.31,1.7
Örebro,2020-05-11,0.79,0.35,1.65
Östergötland,2020-05-11,0.69,0.36,1.23
Skåne,2020-05-11,0.46,0.36,0.57
Södermanland,2020-05-11,0.77,0.31,1.7
Stockholm,2020-05-11,0.81,0.67,0.98
Uppsala,2020-05-11,0.73,0.41,1.24
Värmland,2020-05-11,0.55,0.21,1.25
Västerbotten,2020-05-11,0.7,0.29,1.49
Västernorrland,2020-05-11,0.55,0.2,1.38
Västmanland,2020-05-11,0.61,0.23,1.43
Västra Götaland,2020-05-11,0.61,0.46,0.8
Blekinge,2020-05-12,0.5,0.16,1.28
Dalarna,2020-05-12,0.83,0.39,1.63
Gävleborg,2020-05-12,0.74,0.34,1.49
Gotland,2020-05-12,0.7,0.06,3.71
Halland,2020-05-12,0.58,0.28,1.12
Jämtland,2020-05-12,0.87,0.3,2.16
Jönköping,2020-05-12,0.59,0.3,1.08
Kalmar,2020-05-12,0.62,0.25,1.38
Kronoberg,2020-05-12,0.46,0.15,1.13
Norrbotten,2020-05-12,0.81,0.36,1.68
Örebro,2020-05-12,0.81,0.38,1.61
Östergötland,2020-05-12,0.7,0.37,1.22
Skåne,2020-05-12,0.48,0.39,0.59
Södermanland,2020-05-12,0.82,0.38,1.65
Stockholm,2020-05-12,0.86,0.72,1.02
Uppsala,2020-05-12,0.73,0.42,1.2
Värmland,2020-05-12,0.6,0.26,1.25
Västerbotten,2020-05-12,0.68,0.29,1.41
Västernorrland,2020-05-12,0.58,0.23,1.34
Västmanland,2020-05-12,0.6,0.24,1.33
Västra Götaland,2020-05-12,0.67,0.52,0.85
Blekinge,2020-05-13,0.54,0.19,1.31
Dalarna,2020-05-13,0.84,0.42,1.61
Gävleborg,2020-05-13,0.76,0.36,1.48
Gotland,2020-05-13,0.68,0.06,3.43
Halland,2020-05-13,0.53,0.26,1.02
Jämtland,2020-05-13,0.98,0.37,2.26
Jönköping,2020-05-13,0.64,0.35,1.11
Kalmar,2020-05-13,0.75,0.33,1.53
