Datum,Uppskattning,Low_CI,High_CI
2020-05-11,2.27,2.16,2.63
2020-05-12,2.29,2.19,2.65
2020-05-13,2.3,2.19,2.71
2020-05-14,2.29,2.17,2.66
2020-05-15,2.3,2.18,2.65
2020-05-16,2.23,2.11,2.56
2020-05-17,2.21,2.11,2.55
2020-05-18,2.22,2.11,2.57
2020-05-19,2.15,2.03,2.49
2020-05-20,2.06,1.95,2.39
2020-05-21,1.98,1.88,2.27
2020-05-22,1.94,1.84,2.24
2020-05-23,1.92,1.82,2.2
2020-05-24,1.9,1.8,2.19
2020-05-25,1.88,1.77,2.17
2020-05-26,1.8,1.69,2.08
2020-05-27,1.74,1.65,2.02
2020-05-28,1.71,1.62,2
2020-05-29,1.7,1.62,1.97
2020-05-30,1.8,1.71,2.08
2020-05-31,1.72,1.65,1.99
2020-06-01,1.65,1.58,1.89
2020-06-02,1.59,1.53,1.83
2020-06-03,1.56,1.49,1.8
2020-06-04,1.52,1.46,1.75
2020-06-05,1.52,1.46,1.74
2020-06-06,1.53,1.46,1.75
2020-06-07,1.49,1.42,1.72
2020-06-08,1.44,1.37,1.67
2020-06-09,1.41,1.33,1.64
2020-06-10,1.37,1.29,1.61
2020-06-11,1.39,1.3,1.62
2020-06-12,1.35,1.28,1.56
2020-06-13,1.36,1.28,1.56
2020-06-14,1.31,1.26,1.51
2020-06-15,1.28,1.21,1.47
2020-06-16,1.26,1.19,1.46
2020-06-17,1.24,1.18,1.43
2020-06-18,1.18,1.13,1.36
2020-06-19,1.18,1.14,1.35
2020-06-20,1.17,1.11,1.32
2020-06-21,1.14,1.08,1.3
2020-06-22,1.1,1.06,1.27
2020-06-23,1.05,1,1.22
2020-06-24,1.02,0.96,1.17
2020-06-25,0.96,0.91,1.1
2020-06-26,0.9,0.86,1.04
2020-06-27,0.89,0.85,1.02
2020-06-28,0.87,0.83,0.99
2020-06-29,0.87,0.81,1.01
2020-06-30,0.87,0.83,1.02
2020-07-01,0.9,0.85,1.04
2020-07-02,0.88,0.83,1.02
2020-07-03,0.9,0.85,1.04
2020-07-04,0.91,0.85,1.06
2020-07-05,0.87,0.82,1.03
2020-07-06,0.84,0.78,0.99
2020-07-07,0.83,0.78,0.98
2020-07-08,0.82,0.77,0.96
2020-07-09,0.82,0.77,0.96
2020-07-10,0.83,0.78,0.98
2020-07-11,0.81,0.75,0.95
2020-07-12,0.81,0.75,0.93
2020-07-13,0.79,0.74,0.94
2020-07-14,0.8,0.74,0.92
2020-07-15,0.79,0.73,0.92
2020-07-16,0.76,0.7,0.89
2020-07-17,0.72,0.67,0.86
2020-07-18,0.72,0.67,0.84
2020-07-19,0.68,0.63,0.81
2020-07-20,0.67,0.62,0.81
2020-07-21,0.65,0.61,0.77
2020-07-22,0.64,0.6,0.75
2020-07-23,0.67,0.63,0.77
2020-07-24,0.66,0.63,0.78
2020-07-25,0.65,0.61,0.75
2020-07-26,0.64,0.61,0.75
2020-07-27,0.63,0.6,0.73
2020-07-28,0.65,0.61,0.75
2020-07-29,0.66,0.63,0.77
2020-07-30,0.65,0.62,0.76
2020-07-31,0.63,0.6,0.73
2020-08-01,0.61,0.57,0.69
2020-08-02,0.6,0.56,0.7
2020-08-03,0.59,0.55,0.69
2020-08-04,0.59,0.54,0.69
2020-08-05,0.59,0.56,0.69
2020-08-06,0.59,0.56,0.69
2020-08-07,0.59,0.54,0.68
2020-08-08,0.57,0.53,0.66
