Datum,Uppskattning,Low_CI,High_CI
2020-05-11,0.66,0.6,0.74
2020-05-12,0.69,0.63,0.77
2020-05-13,0.71,0.65,0.79
2020-05-14,0.72,0.65,0.79
2020-05-15,0.71,0.65,0.78
2020-05-16,0.7,0.64,0.77
2020-05-17,0.7,0.64,0.77
2020-05-18,0.7,0.63,0.77
2020-05-19,0.68,0.62,0.75
2020-05-20,0.66,0.6,0.72
2020-05-21,0.63,0.57,0.69
2020-05-22,0.62,0.56,0.68
2020-05-23,0.62,0.56,0.68
2020-05-24,0.62,0.56,0.68
2020-05-25,0.59,0.53,0.65
2020-05-26,0.57,0.52,0.63
2020-05-27,0.56,0.51,0.62
2020-05-28,0.56,0.51,0.62
2020-05-29,0.56,0.5,0.62
2020-05-30,0.55,0.49,0.61
2020-05-31,0.52,0.47,0.58
2020-06-01,0.51,0.46,0.57
2020-06-02,0.49,0.44,0.55
2020-06-03,0.49,0.44,0.55
2020-06-04,0.49,0.44,0.55
2020-06-05,0.51,0.45,0.56
2020-06-06,0.52,0.47,0.58
2020-06-07,0.51,0.46,0.57
2020-06-08,0.52,0.47,0.57
2020-06-09,0.51,0.46,0.57
2020-06-10,0.5,0.45,0.56
2020-06-11,0.5,0.45,0.56
2020-06-12,0.49,0.44,0.54
2020-06-13,0.49,0.44,0.54
2020-06-14,0.46,0.41,0.52
2020-06-15,0.45,0.4,0.51
2020-06-16,0.45,0.4,0.51
2020-06-17,0.44,0.4,0.5
2020-06-18,0.44,0.39,0.49
2020-06-19,0.43,0.39,0.49
2020-06-20,0.42,0.37,0.47
2020-06-21,0.41,0.36,0.46
2020-06-22,0.39,0.35,0.45
2020-06-23,0.38,0.34,0.44
2020-06-24,0.37,0.33,0.43
2020-06-25,0.35,0.31,0.4
2020-06-26,0.34,0.3,0.4
2020-06-27,0.33,0.29,0.38
2020-06-28,0.32,0.28,0.37
2020-06-29,0.33,0.29,0.38
2020-06-30,0.34,0.3,0.39
2020-07-01,0.35,0.3,0.4
2020-07-02,0.35,0.3,0.4
2020-07-03,0.35,0.31,0.4
2020-07-04,0.36,0.31,0.41
2020-07-05,0.35,0.3,0.4
2020-07-06,0.34,0.29,0.39
2020-07-07,0.33,0.29,0.39
2020-07-08,0.33,0.29,0.38
2020-07-09,0.34,0.29,0.39
2020-07-10,0.33,0.29,0.39
2020-07-11,0.33,0.28,0.38
2020-07-12,0.32,0.28,0.38
2020-07-13,0.31,0.27,0.37
2020-07-14,0.31,0.27,0.37
2020-07-15,0.31,0.27,0.36
2020-07-16,0.3,0.25,0.35
2020-07-17,0.28,0.24,0.33
2020-07-18,0.27,0.23,0.32
2020-07-19,0.26,0.22,0.31
2020-07-20,0.25,0.21,0.3
2020-07-21,0.25,0.21,0.3
2020-07-22,0.24,0.21,0.29
2020-07-23,0.25,0.21,0.3
2020-07-24,0.26,0.22,0.31
2020-07-25,0.25,0.21,0.3
2020-07-26,0.25,0.21,0.3
2020-07-27,0.25,0.21,0.3
2020-07-28,0.26,0.21,0.31
