se_postcode,n
19500,1
19520,1
19530,10
19531,8
19532,9
19533,26
19534,13
19535,7
19536,2
19540,16
19541,10
19542,25
19543,6
19544,16
19545,5
19546,7
19547,13
19550,3
19551,8
19552,6
19553,4
19554,6
19555,10
19556,15
19557,4
19558,10
19559,2
19565,7
19570,7
19571,17
19580,1
19590,1
19592,23
19593,19
19594,9
19595,1
19596,7
64530,15
64531,24
64532,16
64533,28
64534,14
64540,28
64542,14
64543,22
64544,9
64545,14
64550,14
64551,10
64552,4
64561,24
64562,15
64571,1
64591,17
64592,23
64593,20
64594,10
64596,15
64597,9
64599,1
72530,1
72538,1
72539,1
72590,27
72591,67
72592,50
72593,14
72594,21
72595,23
72596,25
72597,48
72598,9
73300,1
73317,1
73322,1
73327,1
73330,11
73331,14
73332,20
73333,27
73334,20
73335,17
73336,26
73337,18
73338,21
73340,24
73346,1
73360,9
73361,4
73362,8
73363,8
73373,9
73375,3
73391,17
73392,10
73393,13
73394,11
73395,8
73396,3
73397,7
73398,3
73399,8
74010,37
74011,14
74012,32
74013,1
74020,53
74030,1
74040,1
74045,16
74046,38
74047,20
74081,1
74090,1
74092,1
74111,1
74130,24
74131,27
74139,8
74140,15
74141,40
74142,68
74143,14
74144,12
74145,23
74146,38
74147,25
74148,1
74172,1
74173,1
74190,12
74191,19
74192,41
74193,12
74194,17
74195,14
74196,1
74197,1
74231,14
74232,14
74233,7
74234,9
74235,10
74236,14
74241,11
74242,8
74243,7
74248,1
74250,4
74262,1
74274,1
74291,14
74292,15
74293,13
74294,9
74295,3
74297,8
74322,1
74330,33
74332,17
74333,2
74334,31
74335,43
74340,37
74341,9
74345,19
74349,1
74350,26
74353,1
74361,13
74362,6
74363,13
74364,22
74371,15
74372,17
74373,15
74374,12
74381,32
74382,29
74383,1
74386,24
74387,5
74391,19
74392,1
74393,12
74394,14
74431,43
74432,10
74433,1
74440,1
74442,1
74450,11
74451,14
74477,1
74491,18
74492,8
74493,4
74495,17
74496,14
74497,7
74524,1
74530,17
74531,17
74532,14
74533,15
74534,16
74536,21
74538,12
74539,8
74542,1
74560,9
74561,6
74562,15
74563,17
74571,9
74592,5
74593,15
74594,11
74595,18
74596,11
74597,13
74598,8
74599,21
74631,23
74632,12
74633,29
74634,14
74635,20
74636,19
74637,32
74638,24
74639,23
74641,18
74648,1
74651,20
74652,12
74653,1
74691,20
74692,2
74693,22
74694,4
74695,15
74696,26
74730,8
74731,7
74732,7
74740,11
74741,8
74742,4
74743,2
74744,8
74791,14
74792,10
74793,10
74794,18
74795,7
74821,1
74830,10
74831,5
74832,9
74840,6
74841,11
74842,13
74843,1
74848,1
74850,6
74872,1
74891,2
74892,3
74893,1
74894,15
74895,10
74896,10
74935,4
74937,1
74941,17
74942,26
74944,22
74945,32
74948,30
74949,22
74950,9
74951,19
74952,18
74959,4
74960,10
74961,18
74962,17
74963,20
74970,17
74971,10
74972,17
74991,1
75200,1
75211,1
75212,2
75215,1
75217,42
75218,25
75219,18
75220,73
75221,72
75222,15
75223,23
75224,39
75225,40
75226,66
75227,47
75228,41
75229,43
75230,63
75231,59
75232,64
75233,85
75234,116
75235,62
75236,23
75237,123
75238,49
75239,60
75240,39
75241,33
75242,43
75243,33
75244,18
75246,1
75252,2
75253,2
75257,47
75258,27
75260,47
75261,16
75262,38
75263,73
75264,45
75266,26
75267,68
75268,7
75269,10
75271,21
75272,56
75273,89
75300,1
75308,43
75309,48
75310,22
75311,39
75312,72
75313,48
75314,69
75315,44
75316,42
75317,54
75318,103
75319,25
75320,41
75321,21
75322,33
75324,71
75325,37
75326,55
75327,60
75328,57
75329,88
75330,69
75331,50
75332,39
75333,49
75334,70
75335,60
75336,28
75337,66
75338,1
75340,8
75341,22
75342,14
75346,1
75351,2
75356,1
75372,2
75378,2
75400,1
75413,1
75414,1
75418,57
75419,14
75420,20
75421,36
75422,104
75423,90
75424,70
75425,47
75426,31
75427,17
75428,28
75429,30
75430,26
75431,48
75432,50
75433,40
75434,44
75435,31
75436,30
75437,50
75439,20
75440,47
75441,38
75442,25
75443,11
75444,22
75445,21
75446,21
75447,37
75448,25
75449,27
75452,28
75453,10
75456,1
75462,1
75467,1
75471,53
75477,1
75489,1
75521,2
75527,1
75545,2
75550,19
75556,1
75579,1
75588,1
75591,88
75592,32
75593,18
75594,37
75595,17
75596,41
75597,73
75598,40
75622,1
75623,1
75633,1
75641,1
75642,14
75643,64
75644,101
75645,119
75646,88
75647,68
75648,6
75649,19
75650,27
75651,58
75652,80
75653,80
75654,26
75655,65
75656,25
75657,8
75658,18
75659,19
75747,1
75752,41
75754,16
75755,54
75756,34
75757,53
75758,16
75759,9
75784,1
76231,13
76238,1
76241,11
76251,19
76261,12
76285,1
76291,11
76292,15
76293,5
76294,6
76295,11
76296,13
76297,11
76298,18
81430,9
81431,19
81432,5
81440,21
81441,16
81442,3
81470,24
81479,1
81491,21
81492,4
81493,22
81494,6
81495,6
81535,2
81536,11
81537,8
81538,20
81540,11
81541,4
81544,9
81545,11
81560,1
81569,8
81575,9
81576,7
81591,14
81592,5
81593,8
81595,6
81596,8
81930,14
81940,11
81961,9
81962,16
81963,2
81964,5
81965,8
81966,5
